"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9604323","Negative regulation of NOTCH4 signaling","36/2126","54/10616",1.18424800838744e-13,4.93683388496513e-12,3.38913081347721e-12,"PSMB10/PSME1/RBX1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/TACC3/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",36
"R-HSA-174184","Cdc20:Phospho-APC/C mediated degradation of Cyclin A","43/2126","72/10616",1.5415704674317e-13,6.06494706039051e-12,4.16357921765939e-12,"PSMB10/ANAPC16/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/UBE2E1/ANAPC10/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/CDK1/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/BUB3/CCNA2/PSME3/PSMB4",43
"R-HSA-73894","DNA Repair","123/2126","331/10616",1.66689059759389e-13,6.06494706039051e-12,4.16357921765939e-12,"POLR2G/POLE/FANCA/H4C2/GTF2H5/TINF2/POLB/H4C1/ISG15/H4C3/POLD4/RBX1/POLD1/H4C5/TIMELESS/PPP5C/NFRKB/EME1/POLQ/H4C4/H2BC12/PRKDC/FANCG/UFD1/SUMO3/UBE2L6/POLR2K/UBE2N/H2BU1/XRCC4/INO80C/POLD2/XRCC2/UBB/COPS5/UBC/COPS2/UBA7/H2AC4/H4C13/UBE2B/KPNA2/PAXIP1/RFC3/RCHY1/RPA2/LIG3/CENPX/SLX4/PCNA/UBE2V2/ASCC1/MBD4/ALKBH2/RNF111/POLE4/EXO1/BRIP1/POLR2L/BRCA2/VCP/UNG/POLR2B/UVSSA/POLE3/NBN/APEX1/DCLRE1A/FANCL/CUL4B/COPS4/CLSPN/CUL4A/POLR2E/POT1/DTL/BRCA1/WRN/MCRS1/CETN2/H2BC5/RAD51/FANCI/RAD51C/CHEK1/POLR2C/POLR2I/FANCB/BABAM1/ZNF830/RUVBL1/TDP2/BLM/H2BC14/TERF2IP/PCLAF/SUMO2/UBA52/USP10/NTHL1/ATM/RAD51AP1/H2BC15/CHD1L/SMARCA5/H2BC8/MRE11/RIF1/RFC5/DDB1/NEIL3/FANCF/MSH2/POLE2/DCLRE1B/CCNA2/H2BC4/PRPF19/MAD2L2/GTF2H3/PARP1/RBBP8/UBE2T",123
"R-HSA-69601","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","35/2126","52/10616",1.68218171839917e-13,6.06494706039051e-12,4.16357921765939e-12,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/CDC25A/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/CHEK1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",35
"R-HSA-69610","p53-Independent DNA Damage Response","35/2126","52/10616",1.68218171839917e-13,6.06494706039051e-12,4.16357921765939e-12,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/CDC25A/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/CHEK1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",35
"R-HSA-69613","p53-Independent G1/S DNA damage checkpoint","35/2126","52/10616",1.68218171839917e-13,6.06494706039051e-12,4.16357921765939e-12,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/CDC25A/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/CHEK1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",35
"R-HSA-174154","APC/C:Cdc20 mediated degradation of Securin","41/2126","67/10616",1.78092000943911e-13,6.25196655945205e-12,4.29196788978401e-12,"PSMB10/ANAPC16/PSME1/PTTG1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/UBE2E1/ANAPC10/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",41
"R-HSA-1236974","ER-Phagosome pathway","47/2126","83/10616",1.84777236454792e-13,6.32032906232546e-12,4.33889866978865e-12,"PSMB10/TLR1/VAMP8/SEC61G/LY96/PSME1/VAMP3/TLR4/MYD88/SNAP23/PSMB1/HLA-E/B2M/UBB/PSMA2/UBC/PSMD6/PSMC2/TLR6/BTK/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/TAP1/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4/CHUK",47
"R-HSA-5357801","Programmed Cell Death","79/2126","180/10616",2.11555680591266e-13,7.05538194771873e-12,4.84351163458952e-12,"PSMB10/TNFSF10/LY96/SATB1/PSME1/CASP7/TLR4/YWHAB/TNFRSF10A/VIM/BCL2L11/BIRC3/PSMB1/MAGED1/STAT3/APAF1/FAS/ADD1/BCL2L1/UBB/CFLAR/PSMA2/UBC/PSMD6/PSMC2/BIRC2/GSN/PSMB8/PSMB2/CARD8/H1-0/PSMC5/CASP6/PSMD9/DIABLO/BCL2/PSMA3/DAPK2/TFDP1/PSMB5/DBNL/PSMA1/PSMD13/CASP3/PSMD10/DYNLL1/SEM1/RIPK1/XIAP/STK26/CLSPN/AVEN/PSMB3/PSMC4/PSMA5/PLEC/FNTA/H1-4/PMAIP1/PSMD14/PSMD5/C1QBP/PSMA4/PSMC3/UBA52/APIP/HMGB2/PSMB7/LMNB1/PSMD7/PSMD2/PSMD12/PSMD8/H1-3/YWHAH/PSME3/DFFA/PSMB4/H1-2",79
"R-HSA-109581","Apoptosis","78/2126","177/10616",2.31422067179959e-13,7.52968384434306e-12,5.1691193439426e-12,"PSMB10/TNFSF10/LY96/SATB1/PSME1/CASP7/TLR4/YWHAB/TNFRSF10A/VIM/BCL2L11/PSMB1/MAGED1/STAT3/APAF1/FAS/ADD1/BCL2L1/UBB/CFLAR/PSMA2/UBC/PSMD6/PSMC2/BIRC2/GSN/PSMB8/PSMB2/CARD8/H1-0/PSMC5/CASP6/PSMD9/DIABLO/BCL2/PSMA3/DAPK2/TFDP1/PSMB5/DBNL/PSMA1/PSMD13/CASP3/PSMD10/DYNLL1/SEM1/RIPK1/XIAP/STK26/CLSPN/AVEN/PSMB3/PSMC4/PSMA5/PLEC/FNTA/H1-4/PMAIP1/PSMD14/PSMD5/C1QBP/PSMA4/PSMC3/UBA52/APIP/HMGB2/PSMB7/LMNB1/PSMD7/PSMD2/PSMD12/PSMD8/H1-3/YWHAH/PSME3/DFFA/PSMB4/H1-2",78
"R-HSA-350562","Regulation of ornithine decarboxylase (ODC)","34/2126","51/10616",5.7394086637637e-13,1.82294551368114e-11,1.25145000939208e-11,"PSMB10/OAZ2/PSME1/NQO1/PSMB1/PSMA2/PSMD6/OAZ1/PSMC2/PSMB8/PSMB2/AZIN1/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",34
"R-HSA-5678895","Defective CFTR causes cystic fibrosis","38/2126","61/10616",6.14001278764894e-13,1.90483187412179e-11,1.3076649021431e-11,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/ERLEC1/PSMA3/OS9/PSMB5/VCP/PSMA1/PSMD13/PSMD10/SEM1/DERL1/PSMB3/ERLIN1/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",38
"R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","60/2126","123/10616",6.56203694786872e-13,1.98949029283111e-11,1.36578280972387e-11,"COX8A/COX6C/TRAP1/NDUFA1/NDUFA13/COX5B/COX6B1/UCP2/NDUFB11/COX14/NDUFA7/COX5A/NDUFA9/TMEM126B/UQCR10/SCO1/NDUFB5/NDUFC1/UQCR11/COX7B/ATP5MC3/COQ10B/SDHC/NDUFB7/NDUFB6/NDUFA2/NDUFAB1/NDUFB8/NDUFS4/NDUFA11/SDHD/SCO2/NDUFB1/ATP5MG/UQCRC1/NDUFB10/NDUFS5/NDUFA5/ATP5ME/SDHB/NDUFAF4/ATP5PO/NDUFA4/CYC1/ATP5F1C/NDUFAF1/ATP5F1D/TACO1/COX20/NDUFB3/ATP5PB/ETFB/ATP5F1A/NDUFA8/NDUFB9/UQCRQ/NDUFS7/UQCRC2/ATP5MC1/NDUFS3",60
"R-HSA-1428517","The citric acid (TCA) cycle and respiratory electron transport","76/2126","174/10616",8.20746684764755e-13,2.43305794994707e-11,1.6702914988195e-11,"COX8A/COX6C/TRAP1/NDUFA1/NDUFA13/COX5B/COX6B1/UCP2/NDUFB11/GSTZ1/COX14/NDUFA7/COX5A/NDUFA9/TMEM126B/SLC16A1/UQCR10/SCO1/NDUFB5/NDUFC1/UQCR11/COX7B/PDP2/L2HGDH/ATP5MC3/COQ10B/DLAT/SDHC/NDUFB7/NDUFB6/NDUFA2/NDUFAB1/NDUFB8/MPC2/NDUFS4/NDUFA11/SDHD/SCO2/NDUFB1/ATP5MG/UQCRC1/NDUFB10/NDUFS5/LDHA/NDUFA5/ATP5ME/SUCLG1/PDHB/SDHB/NDUFAF4/FAHD1/ATP5PO/NDUFA4/CYC1/ATP5F1C/ACO2/NDUFAF1/GLO1/ATP5F1D/DLD/TACO1/COX20/NDUFB3/ATP5PB/ETFB/ATP5F1A/NDUFA8/NDUFB9/IDH3A/UQCRQ/ME2/NDUFS7/UQCRC2/BSG/ATP5MC1/NDUFS3",76
"R-HSA-69017","CDK-mediated phosphorylation and removal of Cdc6","42/2126","72/10616",9.07240732161062e-13,2.50703418175684e-11,1.72107609731591e-11,"PSMB10/ANAPC16/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/ANAPC11/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/CDC6/PSMB3/UBE2E1/ANAPC10/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/ANAPC4/PSMB7/CDC26/PSMD7/PSMD2/PSMD12/PSMD8/CCNA2/PSME3/PSMB4",42
"R-HSA-8854050","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","35/2126","54/10616",9.19623210807086e-13,2.50703418175684e-11,1.72107609731591e-11,"PSMB10/PSME1/RBX1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",35
"R-HSA-5387390","Hh mutants abrogate ligand secretion","37/2126","59/10616",9.20874624483397e-13,2.50703418175684e-11,1.72107609731591e-11,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/ERLEC1/PSMA3/OS9/PSMB5/VCP/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/SYVN1/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",37
"R-HSA-5676590","NIK-->noncanonical NF-kB signaling","37/2126","59/10616",9.20874624483397e-13,2.50703418175684e-11,1.72107609731591e-11,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/NFKB2/PSMA5/PSMD14/PSMD5/UBA3/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4/CHUK",37
"R-HSA-983705","Signaling by the B Cell Receptor (BCR)","56/2126","112/10616",1.05602964040129e-12,2.81748708059064e-11,1.93420165715604e-11,"PSMB10/SH3KBP1/PSME1/RASGRP3/CD79B/ITPR3/BLK/NFKBIA/PSMB1/LYN/CALM3/UBB/PSMA2/UBC/PSMD6/PSMC2/BTK/PSMB8/PPP3CB/NCK1/PSMB2/DAPP1/VAV1/PSMC5/PSMD9/PSMA3/CD79A/SKP1/NFATC2/PSMB5/MALT1/PSMA1/PSMD13/PSMD10/SEM1/SYK/PSMB3/PSMC4/REL/PSMA5/PTPN6/KRAS/STIM1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4/CHUK",56
"R-HSA-180534","Vpu mediated degradation of CD4","34/2126","52/10616",1.34030595605632e-12,3.43840027957526e-11,2.36045785783199e-11,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",34
"R-HSA-349425","Autodegradation of the E3 ubiquitin ligase COP1","34/2126","52/10616",1.34030595605632e-12,3.43840027957526e-11,2.36045785783199e-11,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/ATM/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",34
"R-HSA-211733","Regulation of activated PAK-2p34 by proteasome mediated degradation","33/2126","50/10616",1.93927301091454e-12,4.4128220340046e-11,3.0293972773487e-11,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",33
"R-HSA-187577","SCF(Skp2)-mediated degradation of p27/p21","37/2126","60/10616",1.94137847626435e-12,4.4128220340046e-11,3.0293972773487e-11,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/PSMD13/CDKN1B/PSMD10/SEM1/SKP2/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/CCNA2/PSME3/PSMB4",37
"R-HSA-5607761","Dectin-1 mediated noncanonical NF-kB signaling","37/2126","60/10616",1.94137847626435e-12,4.4128220340046e-11,3.0293972773487e-11,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/NFKB2/PSMA5/PSMD14/PSMD5/UBA3/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4/CHUK",37
"R-HSA-5610780","Degradation of GLI1 by the proteasome","37/2126","60/10616",1.94137847626435e-12,4.4128220340046e-11,3.0293972773487e-11,"PSMB10/PSME1/RBX1/PSMB1/PRKACB/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/ITCH/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",37
"R-HSA-5610783","Degradation of GLI2 by the proteasome","37/2126","60/10616",1.94137847626435e-12,4.4128220340046e-11,3.0293972773487e-11,"PSMB10/PSME1/RBX1/PSMB1/PRKACB/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/CSNK1A1/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",37
"R-HSA-5610785","GLI3 is processed to GLI3R by the proteasome","37/2126","60/10616",1.94137847626435e-12,4.4128220340046e-11,3.0293972773487e-11,"PSMB10/PSME1/RBX1/PSMB1/PRKACB/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/CSNK1A1/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",37
"R-HSA-2262752","Cellular responses to stress","159/2126","477/10616",1.95169790109649e-12,4.4128220340046e-11,3.0293972773487e-11,"PSMB10/ATP6V1E1/ATP6V0D1/H4C2/ANAPC16/CAT/FKBP4/TINF2/LAMTOR2/CABIN1/PSME1/NCF2/H4C1/H4C3/ATOX1/RBX1/TUBA4A/NUP37/LAMTOR3/H4C5/CAPZA2/ATP6V1G1/DCTN2/RRAGA/NUP210/PSMB1/H4C4/H2BC12/STAT3/GSTP1/LAMTOR5/SESN1/H2BU1/VEGFA/ATP6V1D/CBX6/MIOS/UBB/PSMA2/UBE2D2/UBC/ACTR1A/PSMD6/ATP6V1A/PSMC2/DNAJA1/PSMB8/H2AC4/GSR/TNRC6A/H4C13/MAP2K4/ASF1A/NR3C1/ATP6V1H/MINK1/ANAPC11/PRDX5/PSMB2/CAPZA1/DCTN5/RPA2/H1-0/PSMC5/PSMD9/ACTR10/DYNC1LI2/CCS/PSMA3/RNF2/TFDP1/PSMB5/H3C7/VCP/DYNC1LI1/NUDT2/PSMA1/HSPA5/CYBB/STIP1/PSMD13/CDKN1B/PSMD10/NBN/DYNLL1/SEM1/PRDX3/SZT2/SEH1L/PSMB3/GPX1/UBE2E1/POT1/DNAJA2/CUL2/HIKESHI/ANAPC10/PSMC4/AGO4/JUN/H2BC5/PSMA5/UBE2D1/ATP6V1C1/MAPKAPK5/ATP7A/DCTN4/RAE1/RPS19BP1/H1-4/TNRC6B/DNAJC2/RBBP7/BAG2/HSPA4/PSMD14/PSMD5/C12orf66/PSMA4/DCTN6/H2BC14/BAG1/TERF2IP/ERO1A/PSMC3/ATP6V1B2/NUP54/UBA52/H3C1/ATM/H2BC15/ANAPC4/PSMB7/H2BC8/SEC13/MRE11/H3C2/CDC26/LMNB1/PRDX6/NDC1/PSMD7/RRAGD/HSPA4L/PSMD2/PSMD12/PSMD8/PRDX1/H1-3/SOD1/CCNA2/PSME3/H3C11/H2BC4/PSMB4/H3C12/NUP155/MDM4/H1-2",159
"R-HSA-174113","SCF-beta-TrCP mediated degradation of Emi1","35/2126","55/10616",2.04414181798121e-12,4.54480864197822e-11,3.12000593270816e-11,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/SKP1/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/FBXO5/PSMB4",35
"R-HSA-69615","G1/S DNA Damage Checkpoints","40/2126","68/10616",2.17776056409428e-12,4.76251244672421e-11,3.26945934557726e-11,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/ZNF385A/PSMA3/PSMB5/PSMA1/CDC25A/PSMD13/CDKN1B/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/CHEK1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/ATM/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/CCNA2/PSME3/PSMB4/MDM4",40
"R-HSA-1236975","Antigen processing-Cross presentation","51/2126","99/10616",2.49829046151223e-12,5.37535399299567e-11,3.69017436590092e-11,"PSMB10/TLR1/VAMP8/SEC61G/LY96/CTSS/PSME1/NCF2/VAMP3/TLR4/MYD88/SNAP23/PSMB1/HLA-E/B2M/UBB/PSMA2/UBC/PSMD6/PSMC2/TLR6/BTK/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/TAP1/PSMA1/CYBB/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/LNPEP/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4/CHUK",51
"R-HSA-202424","Downstream TCR signaling","50/2126","97/10616",3.9773336056154e-12,8.42184607919197e-11,5.78158769738579e-11,"PSMB10/HLA-DPB1/CD3E/HLA-DQA1/PSME1/HLA-DQA2/CD3G/HLA-DPA1/NFKBIA/PSMB1/UBE2N/UBB/PSMA2/UBE2D2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/INPP5D/PSMA3/SKP1/PSMB5/MALT1/PSMA1/PSMD13/PSMD10/PIK3CA/TAB2/SEM1/RIPK2/PSMB3/PSMC4/PSMA5/UBE2D1/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4/CHUK",50
"R-HSA-450408","AUF1 (hnRNP D0) binds and destabilizes mRNA","35/2126","56/10616",4.4061881301183e-12,9.18414838371532e-11,6.30490735724164e-11,"PSMB10/PSME1/HSPB1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/EIF4G1/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",35
"R-HSA-5687128","MAPK6/MAPK4 signaling","47/2126","89/10616",5.68085262381707e-12,1.16588575387261e-10,8.00379236068154e-11,"PSMB10/PSME1/HSPB1/CDC42EP3/PSMB1/PRKACB/UBB/AGO2/PSMA2/UBC/PSMD6/PAK1/PSMC2/PSMB8/TNRC6A/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/XPO1/PSMC4/AGO4/JUN/PSMA5/MAPKAPK5/TNRC6B/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/CDK1/PSMB7/MYC/PSMD7/PSMD2/PSMD12/PSMD8/MAPK6/PSME3/PSMB4",47
"R-HSA-351202","Metabolism of polyamines","36/2126","59/10616",6.07563977436441e-12,1.22801567560638e-10,8.4303135625152e-11,"PSMB10/OAZ2/SAT1/PSME1/NQO1/PSMB1/SRM/PSMA2/PSMD6/OAZ1/PSMC2/PSMB8/PSMB2/AZIN1/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",36
"R-HSA-180585","Vif-mediated degradation of APOBEC3G","34/2126","54/10616",6.59704459176946e-12,1.31350111722693e-10,9.017170141146e-11,"PSMB10/PSME1/RBX1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",34
"R-HSA-4641258","Degradation of DVL","35/2126","57/10616",9.22812998695102e-12,1.78410513081053e-10,1.22478613099121e-10,"PSMB10/PSME1/RBX1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/CUL3/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",35
"R-HSA-69541","Stabilization of p53","35/2126","57/10616",9.22812998695102e-12,1.78410513081053e-10,1.22478613099121e-10,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/ATM/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4/MDM4",35
"R-HSA-75815","Ubiquitin-dependent degradation of Cyclin D","33/2126","52/10616",9.83019812966685e-12,1.8733549007108e-10,1.2860559959113e-10,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/PSMA3/PSMB5/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",33
"R-HSA-5358346","Hedgehog ligand biogenesis","38/2126","65/10616",1.01007266707695e-11,1.89779850405725e-10,1.30283650164113e-10,"PSMB10/PSME1/PSMB1/UBB/PSMA2/UBC/PSMD6/PSMC2/PSMB8/PSMB2/PSMC5/PSMD9/ERLEC1/PSMA3/OS9/PSMB5/VCP/PSMA1/PSMD13/PSMD10/SEM1/PSMB3/PSMC4/ADAM17/PSMA5/PSMD14/PSMD5/PSMA4/PSMC3/UBA52/PSMB7/SYVN1/PSMD7/PSMD2/PSMD12/PSMD8/PSME3/PSMB4",38
